Vendor Name,Department,Last 12 months Cost (USD),1-line Description on what the Vendor does,Suggestions (Consolidate / Terminate / Optimize costs)
Mithras Consultants,HR & Recruitment,$77,Business consulting and advisory services,Terminate
6Sense Insights Inc,G&A,$76,B2B sales intelligence platform,Terminate
Ico,G&A,$67,Ico provider,Terminate
Sportska Udruga Split,G&A,$66,Sportska Udruga Split services and solutions,Terminate
Prezzee,G&A,$64,Prezzee provider,Terminate
Inet Telecoms Ltd.,IT Support & Infrastructure,$63,Business services provider,Terminate
Wolt Enterprises Oy,G&A,$62,Wolt Enterprises Oy services and solutions,Terminate
Platinum Office D.O.O.,Real Estate & Facilities,$62,Office supplies and equipment,Terminate
Snappy Snaps,G&A,$59,Snappy Snaps services and solutions,Terminate
New Block D.O.O.,G&A,$56,Local service provider,Terminate
Cayman Islands Government,G&A,$56,Cayman Islands Government services and solutions,Terminate
Officeworks,Real Estate & Facilities,$56,Office supplies and equipment,Terminate
Click Send Pty Ltd,G&A,$55,Business services provider,Terminate
Kall Kwik Centre 565,G&A,$55,Kall Kwik Centre 565 services and solutions,Terminate
Shilton Hospitality Llp,G&A,$55,Legal advisory and corporate law services,Terminate
Axosoft Gitkraken,Engineering,$54,Axosoft Gitkraken services and solutions,Terminate
Istra Wine,G&A,$53,Istra Wine services and solutions,Terminate
Gophr,HR & Recruitment,$52,Gophr provider,Terminate
Pan-Pek D.O.O.,G&A,$50,Local service provider,Terminate
Uber *Eats,Travel & Transportation,$50,Ride-sharing and logistics services,Terminate
Fedex Express Uk Transportation Ltd,Travel & Transportation,$47,Shipping and parcel delivery services,Terminate
Garden City D.O.O.,G&A,$45,Local service provider,Terminate
Livingstone,G&A,$41,Livingstone provider,Terminate
Ekupi D.O.O.,G&A,$40,Local service provider,Terminate
Farmacia - Specijalizirana Prodavaonica D.O.O.,G&A,$36,Local service provider,Terminate
Cupcake Central (Life Is Sweet Bakery),G&A,$35,Cupcake Central (Life Is Sweet Bakery) services and solutions,Terminate
Post Office Ltd,Real Estate & Facilities,$32,Office supplies and equipment,Terminate
Currys Pc World,G&A,$30,Currys Pc World services and solutions,Terminate
Brodomerkur D.D.,G&A,$29,Brodomerkur D.D. services and solutions,Terminate
Sport Vision D.O.O.,G&A,$26,Local service provider,Terminate
Harissa D.O.O.,G&A,$21,Local service provider,Terminate
Specijalisticka Ordinacija Medicine Rada I Sporta Ina Kardos,Sales & Marketing,$20,Specijalisticka Ordinacija Medicine Rada I Sporta Ina Kardos services and solutions,Terminate
Specijalisticka Ordinacija Medicine Rada Helena Blazic,Sales & Marketing,$20,Specijalisticka Ordinacija Medicine Rada Helena Blazic services and solutions,Terminate
Ustanova Za Medicinu Rada I Sporta Dr. Novacki,Sales & Marketing,$20,Ustanova Za Medicinu Rada I Sporta Dr. Novacki services and solutions,Terminate
M&S Simply Food,G&A,$19,Catering and food services,Terminate
Bakemono Bakers Melbourne,G&A,$18,Bakemono Bakers Melbourne services and solutions,Terminate
Coles,G&A,$18,Coles provider,Terminate
