Vendor Name,Department,Cost,Description,Recommendation
Maniax Melbourne Cbd,Sales & Marketing,$315,Maniax Melbourne Cbd provides specialized services and solutions,Terminate
Dnsimple,Engineering,$312,Domain registration and DNS management service,Terminate
Treci Posao D.O.O.,G&A,$307,Treci Posao D.O.O. provides specialized services and solutions,Terminate
Gaucho Restaurants,G&A,$302,Gaucho Restaurants provides specialized services and solutions,Terminate
Formswift,G&A,$301,Form builder and document automation platform,Terminate
Safestore Ltd,Real Estate & Facilities,$287,Safestore provides specialized services and solutions,Terminate
Split Tech City,G&A,$284,Split Tech City provides specialized services and solutions,Terminate
National Securities Depository Limited(Nsdl),Finance & Accounting,$281,National Securities Depository Limited(Nsdl) provides specialized services and solutions,Terminate
Adamma Info Services Private Limited,Sales & Marketing,$273,Adamma Info Services Private Limited provides specialized services and solutions,Terminate
The Riding House Cafe,G&A,$265,The Riding House Cafe provides specialized services and solutions,Terminate
Stillmark Zagreb D.O.O.,G&A,$263,Stillmark Zagreb D.O.O. provides specialized services and solutions,Terminate
Lastpass Ireland Limited,Engineering,$263,Password management and security solution,Terminate
Taste Of Health,G&A,$259,Taste Of Health provides specialized services and solutions,Terminate
Infodata,G&A,$241,Infodata provides specialized services and solutions,Terminate
Amazon (Aus),G&A,$233,Amazon (Aus) provides specialized services and solutions,Terminate
Regency Hampers Ltd,G&A,$248,Regency Hampers provides specialized services and solutions,Terminate
Bella Operation A/S,G&A,$241,Bella Operation A/S provides specialized services and solutions,Terminate
The Plant Man,G&A,$235,The Plant Man provides specialized services and solutions,Terminate
Media Promo Plus D.O.O.,Communications,$226,Media Promo Plus D.O.O. provides specialized services and solutions,Terminate
Expert-Ing D.O.O.,G&A,$225,Expert-Ing D.O.O. provides specialized services and solutions,Terminate
Atlassian Pty Ltd,Engineering,$224,Software development and team collaboration tools,Terminate
Djs For U,G&A,$220,Djs For U provides specialized services and solutions,Terminate
Freepik Company,G&A,$203,Freepik Company provides specialized services and solutions,Terminate
Nastavni Zavod Za Javno Zdravstvo Dr. Andrija Å Tampar,G&A,$199,Nastavni Zavod Za Javno Zdravstvo Dr. Andrija Å Tampar provides specialized services and solutions,Terminate
Rishi Events And Entainment,G&A,$198,Rishi Events And Entainment provides specialized services and solutions,Terminate
Kosmaz Technologies Croatia,G&A,$195,Kosmaz Technologies Croatia provides specialized services and solutions,Terminate
Dhl,Travel & Transportation,$191,Dhl provides specialized services and solutions,Terminate
Hotel Laguna D.D.,Travel & Transportation,$190,Hotel Laguna D.D. provides specialized services and solutions,Terminate
Bigshare Services Private Limited,G&A,$188,Bigshare Services Private Limited provides specialized services and solutions,Terminate
Zettanet,Engineering,$183,Zettanet provides specialized services and solutions,Terminate
Hahn Air,G&A,$183,Hahn Air provides specialized services and solutions,Terminate
Vitality Works,G&A,$182,Vitality Works provides specialized services and solutions,Terminate
Avoxi Inc,G&A,$178,Avoxi provides specialized services and solutions,Terminate
Zapier Inc.,Engineering,$167,No-code automation platform for app integration,Terminate
"Solarwinds, Inc",Engineering,$166,"Solarwinds, provides specialized services and solutions",Terminate
Xenon Savjetovanje D.O.O.,G&A,$164,Xenon Savjetovanje D.O.O. provides specialized services and solutions,Terminate
Floom Ltd,G&A,$162,Floom provides specialized services and solutions,Terminate
Notino S.R.O.,G&A,$161,Notino S.R.O. provides specialized services and solutions,Terminate
"Paint&Wine, Vl. Stevo Dosen",G&A,$159,"Paint&Wine, Vl. Stevo Dosen provides specialized services and solutions",Terminate
Parcelforce Worldwide,Travel & Transportation,$155,Parcelforce Worldwide provides specialized services and solutions,Terminate
Advena,Sales & Marketing,$154,Advena provides specialized services and solutions,Terminate
Hrvatski Nezavisnici Izvoznici Softvera,HR & Recruitment,$154,Hrvatski Nezavisnici Izvoznici Softvera provides specialized services and solutions,Terminate
Monile J.D.O.O.,G&A,$152,Monile J.D.O.O. provides specialized services and solutions,Terminate
Puzzle Promotion J.D.O.O.,G&A,$143,Puzzle Promotion J.D.O.O. provides specialized services and solutions,Terminate
ZagrebaäKi Holding D.O.O.,G&A,$143,ZagrebaäKi Holding D.O.O. provides specialized services and solutions,Terminate
Event Ors,G&A,$143,Event Ors provides specialized services and solutions,Terminate
Sportkart D.O.O.,G&A,$141,Sportkart D.O.O. provides specialized services and solutions,Terminate
"Interaction Design Foundation, Inc",G&A,$138,"Interaction Design Foundation, provides specialized services and solutions",Terminate
(Blank),G&A,$137,(Blank) provides specialized services and solutions,Terminate
Escape Art D.O.O.,G&A,$133,Escape Art D.O.O. provides specialized services and solutions,Terminate
Fero-Term,G&A,$131,Fero-Term provides specialized services and solutions,Terminate
Ustanova Za Zdravstvenu Skrb P.P.,G&A,$131,Ustanova Za Zdravstvenu Skrb P.P. provides specialized services and solutions,Terminate
Vistaprint,G&A,$130,Vistaprint provides specialized services and solutions,Terminate
Teb Poslovno Savjetovanje D.O.O.,G&A,$129,Teb Poslovno Savjetovanje D.O.O. provides specialized services and solutions,Terminate
Illunis D.O.O.,G&A,$128,Illunis D.O.O. provides specialized services and solutions,Terminate
The Cook Kitchen,G&A,$123,The Cook Kitchen provides specialized services and solutions,Terminate
Australian Taxation Office (Ato),Finance & Accounting,$123,Australian Taxation Office (Ato) provides specialized services and solutions,Terminate
Capitol Services,G&A,$120,Capitol Services provides specialized services and solutions,Terminate
Bonus Opinio D.O.O.,G&A,$120,Bonus Opinio D.O.O. provides specialized services and solutions,Terminate
Dhl Express (Uk) Ltd,Travel & Transportation,$119,Dhl Express (Uk) provides specialized services and solutions,Terminate
Kat'S Kitchen D.O.O.,G&A,$119,Kat'S Kitchen D.O.O. provides specialized services and solutions,Terminate
Soho Kitchen Ltd,G&A,$104,Soho Kitchen provides specialized services and solutions,Terminate
Fortis Trade J.D.O.O.,Sales & Marketing,$95,Fortis Trade J.D.O.O. provides specialized services and solutions,Terminate
Till Trade D.O.O.,Sales & Marketing,$93,Till Trade D.O.O. provides specialized services and solutions,Terminate
Pret A Manger,G&A,$92,Pret A Manger provides specialized services and solutions,Terminate
Axil Coffee Roasters,G&A,$89,Axil Coffee Roasters provides specialized services and solutions,Terminate
Pepco Croatia D.O.O.,G&A,$89,Pepco Croatia D.O.O. provides specialized services and solutions,Terminate
Lemia D.O.O.,G&A,$88,Lemia D.O.O. provides specialized services and solutions,Terminate
Retriever Llc,G&A,$88,Retriever Llc provides specialized services and solutions,Terminate
Meluba Limited,G&A,$88,Meluba Limited provides specialized services and solutions,Terminate
London Waste Management,G&A,$86,London Waste Management provides specialized services and solutions,Terminate
Hilton Garden Inn - Zagreb City Hotels D.O.O.,Travel & Transportation,$82,Hilton Garden Inn - Zagreb City Hotels D.O.O. provides specialized services and solutions,Terminate
Lider Media D.O.O.,Communications,$80,Lider Media D.O.O. provides specialized services and solutions,Terminate
Uptime Robot Service Provider Ltd,Engineering,$78,Website and application monitoring service,Terminate
Mithras Consultants,HR & Recruitment,$77,Mithras Consultants provides specialized services and solutions,Terminate
6Sense Insights Inc,G&A,$76,6Sense Insights provides specialized services and solutions,Terminate
Ico,G&A,$67,Ico provides specialized services and solutions,Terminate
Sportska Udruga Split,G&A,$66,Sportska Udruga Split provides specialized services and solutions,Terminate
Prezzee,G&A,$64,Prezzee provides specialized services and solutions,Terminate
Inet Telecoms Ltd.,IT Support & Infrastructure,$63,Inet Telecoms. provides specialized services and solutions,Terminate
Wolt Enterprises Oy,G&A,$62,Wolt Enterprises Oy provides specialized services and solutions,Terminate
Platinum Office D.O.O.,Real Estate & Facilities,$62,Platinum Office D.O.O. provides specialized services and solutions,Terminate
Snappy Snaps,G&A,$59,Snappy Snaps provides specialized services and solutions,Terminate
New Block D.O.O.,G&A,$56,New Block D.O.O. provides specialized services and solutions,Terminate
Cayman Islands Government,G&A,$56,Cayman Islands Government provides specialized services and solutions,Terminate
Officeworks,Real Estate & Facilities,$56,Officeworks provides specialized services and solutions,Terminate
Click Send Pty Ltd,G&A,$55,Click Send Pty provides specialized services and solutions,Terminate
Kall Kwik Centre 565,G&A,$55,Kall Kwik Centre 565 provides specialized services and solutions,Terminate
Shilton Hospitality Llp,G&A,$55,Shilton Hospitality provides specialized services and solutions,Terminate
Axosoft Gitkraken,Engineering,$54,Axosoft Gitkraken provides specialized services and solutions,Terminate
Istra Wine,G&A,$53,Istra Wine provides specialized services and solutions,Terminate
Gophr,HR & Recruitment,$52,Gophr provides specialized services and solutions,Terminate
Pan-Pek D.O.O.,G&A,$50,Pan-Pek D.O.O. provides specialized services and solutions,Terminate
Uber *Eats,Travel & Transportation,$50,Uber *Eats provides specialized services and solutions,Terminate
Fedex Express Uk Transportation Ltd,Travel & Transportation,$47,Fedex Express Uk Transportation provides specialized services and solutions,Terminate
Garden City D.O.O.,G&A,$45,Garden City D.O.O. provides specialized services and solutions,Terminate
Livingstone,G&A,$41,Livingstone provides specialized services and solutions,Terminate
Ekupi D.O.O.,G&A,$40,Ekupi D.O.O. provides specialized services and solutions,Terminate
Farmacia - Specijalizirana Prodavaonica D.O.O.,G&A,$36,Farmacia - Specijalizirana Prodavaonica D.O.O. provides specialized services and solutions,Terminate
Cupcake Central (Life Is Sweet Bakery),G&A,$35,Cupcake Central (Life Is Sweet Bakery) provides specialized services and solutions,Terminate
Post Office Ltd,Real Estate & Facilities,$32,Post Office provides specialized services and solutions,Terminate
Currys Pc World,G&A,$30,Currys Pc World provides specialized services and solutions,Terminate
Brodomerkur D.D.,G&A,$29,Brodomerkur D.D. provides specialized services and solutions,Terminate
Sport Vision D.O.O.,G&A,$26,Sport Vision D.O.O. provides specialized services and solutions,Terminate
Harissa D.O.O.,G&A,$21,Harissa D.O.O. provides specialized services and solutions,Terminate
Specijalisticka Ordinacija Medicine Rada I Sporta Ina Kardos,Sales & Marketing,$20,Specijalisticka Ordinacija Medicine Rada I Sporta Ina Kardos provides specialized services and solutions,Terminate
Specijalisticka Ordinacija Medicine Rada Helena Blazic,Sales & Marketing,$20,Specijalisticka Ordinacija Medicine Rada Helena Blazic provides specialized services and solutions,Terminate
Ustanova Za Medicinu Rada I Sporta Dr. Novacki,Sales & Marketing,$20,Ustanova Za Medicinu Rada I Sporta Dr. Novacki provides specialized services and solutions,Terminate
M&S Simply Food,G&A,$19,M&S Simply Food provides specialized services and solutions,Terminate
Bakemono Bakers Melbourne,G&A,$18,Bakemono Bakers Melbourne provides specialized services and solutions,Terminate
Coles,G&A,$18,Coles provides specialized services and solutions,Terminate
